序号,测试时间,孩子昵称,年龄,性别,气质类型,精娃%,憨娃%,倔娃%,精娃项数,憨娃项数,倔娃项数,总勾选数
1,,2026/7/13 16:53:41,的的,23,男,🔥 偏倔娃,27%,27%,45%,3,3,5,11
2,,2026/7/13 17:00:59,的的又,12,女,🧸 偏憨娃,9%,45%,45%,1,5,5,11
3,,2026/7/13 21:01:59,格格,14,女,🧸 偏憨娃,36%,48%,16%,9,12,4,25
4,,2026/7/13 22:19:52,未填写,18,男,🧸 憨娃（钝感型）,36%,50%,14%,5,7,2,14
5,,2026/7/14 09:27:52,肥,2岁10个月,女,🦊 偏精娃,43%,24%,33%,9,5,7,21
6,,2026/7/14 09:39:00,dd,22,男,🧸 偏憨娃,31%,38%,31%,5,6,5,16
7,,2026/7/14 09:48:01,小雅,12,女,🧸 偏憨娃,21%,47%,32%,4,9,6,19
8,,2026/7/14 09:53:33,gg,22,女,🔥 倔娃（困难型）,36%,14%,50%,5,2,7,14
9,,2026/7/14 10:26:39,小陈,20,男,🧸 憨娃（钝感型）,11%,72%,17%,2,13,3,18
10,,2026/7/14 10:52:32,涛,20,男,🧸 憨娃（钝感型）,13%,67%,20%,2,10,3,15
11,,2026/7/14 10:53:09,涛,20,男,🧸 憨娃（钝感型）,13%,67%,20%,2,10,3,15
12,,2026/7/14 10:53:12,涛,20,男,🧸 憨娃（钝感型）,13%,67%,20%,2,10,3,15
13,,2026/7/14 11:06:50,未填写,未填写,未填写,🧸 憨娃（钝感型）,6%,63%,31%,1,10,5,16
14,,2026/7/14 11:18:27,未填写,未填写,男,🧸 偏憨娃,38%,46%,17%,9,11,4,24
15,,2026/7/14 11:23:20,未填写,未填写,男,🦊 精娃（高敏型）,50%,36%,14%,14,10,4,28
16,,2026/7/14 15:00:41,小滔,14,女,🔥 偏倔娃,25%,29%,46%,6,7,11,24
17,,2026/7/14 15:16:29,小溪,未填写,女,🧸 偏憨娃,38%,38%,25%,3,3,2,8
18,,2026/7/14 16:31:13,五月,10岁,女,🧸 憨娃（钝感型）,0%,64%,36%,0,7,4,11
19,,2026/7/14 16:37:57,岁岁,5岁,男,🔥 倔娃（困难型）,38%,8%,54%,5,1,7,13
20,,2026/7/15 17:47:36,未填写,未填写,未填写,🦊 偏精娃,42%,30%,27%,14,10,9,33
